event_id,timestamp,user_id,role,department,file_id,file_type,file_sensitivity,action,device_id,country,city,app,is_external_share,share_scope,permission_change,bytes,label,intent,scenario_id
evt_00000868,2026-05-27 06:44:13,user_020,office_staff,operations,file_00059,docx,high,edit,office_staff_device_20_1,NZ,Wellington,web,0,none,0,5569,0,normal,
evt_00000314,2026-05-27 06:44:58,user_007,office_staff,operations,file_00312,txt,low,view,office_staff_device_7_1,NZ,Auckland,web,0,none,0,3708,0,normal,
evt_00000096,2026-05-27 06:45:10,user_002,office_staff,operations,file_00037,pptx,medium,view,office_staff_device_2_0,NZ,Auckland,web,0,none,0,866,0,normal,
evt_00000241,2026-05-27 06:48:01,user_005,office_staff,operations,file_00104,pdf,low,view,office_staff_device_5_1,NZ,Christchurch,desktop,0,none,0,7987,0,normal,
evt_00000877,2026-05-27 06:48:30,user_020,office_staff,operations,file_00018,txt,low,download,office_staff_device_20_0,NZ,Christchurch,desktop,0,none,0,2395183,0,normal,
evt_00000477,2026-05-27 06:48:32,user_010,office_staff,operations,file_00069,docx,high,view,office_staff_device_10_1,NZ,Wellington,web,0,none,0,6693,0,normal,
evt_00000191,2026-05-27 06:50:23,user_004,office_staff,operations,file_00024,docx,low,download,office_staff_device_4_0,NZ,Auckland,mobile,0,none,0,704213,0,normal,
evt_00000906,2026-05-27 06:52:21,user_021,manager,management,file_00216,pdf,low,edit,manager_device_21_0,NZ,Wellington,mobile,0,none,0,28712,0,normal,
evt_00000901,2026-05-27 06:54:20,user_021,manager,management,file_00124,docx,high,edit,manager_device_21_1,NZ,Auckland,web,0,none,0,9278,0,normal,
evt_00001025,2026-05-27 06:54:31,user_024,manager,management,file_00036,txt,low,share,manager_device_24_1,NZ,Auckland,web,0,internal,0,1468,0,normal,
evt_00001001,2026-05-27 06:55:40,user_024,manager,management,file_00214,xlsx,low,edit,manager_device_24_0,NZ,Wellington,web,0,none,0,5165,0,normal,
evt_00000039,2026-05-27 06:57:22,user_001,office_staff,operations,file_00008,txt,low,view,office_staff_device_1_0,NZ,Auckland,desktop,0,none,0,9258,0,normal,
evt_00000266,2026-05-27 06:57:33,user_006,office_staff,operations,file_00209,pdf,high,view,office_staff_device_6_0,AU,Sydney,web,0,none,0,7460,0,normal,
evt_00000754,2026-05-27 06:57:48,user_018,office_staff,operations,file_00468,docx,medium,download,office_staff_device_18_0,NZ,Auckland,desktop,0,none,0,2094091,0,normal,
evt_00001116,2026-05-27 07:13:54,user_029,it_admin,it,file_00188,txt,medium,permission_change,it_admin_device_29_1,NZ,Wellington,desktop,0,none,1,132,0,normal,
evt_00001093,2026-05-27 07:34:07,user_028,contractor,external,file_00084,pdf,low,permission_change,contractor_device_28_1,AU,Sydney,web,0,none,1,591,0,normal,
evt_00001130,2026-05-27 07:36:50,user_029,it_admin,it,file_00460,csv,low,view,it_admin_device_29_0,AU,Sydney,web,0,none,0,6050,0,normal,
evt_00001123,2026-05-27 07:38:48,user_029,it_admin,it,file_00397,txt,medium,view,it_admin_device_29_2,NZ,Wellington,web,0,none,0,8827,0,normal,
evt_00001088,2026-05-27 07:47:52,user_028,contractor,external,file_00036,txt,low,view,contractor_device_28_1,NZ,Christchurch,web,0,none,0,2377,0,normal,
evt_00001149,2026-05-27 07:48:43,user_030,it_admin,it,file_00444,pdf,low,view,it_admin_device_30_1,NZ,Auckland,web,0,none,0,5778,0,normal,
evt_00001103,2026-05-27 07:50:00,user_028,contractor,external,file_00297,pdf,high,view,contractor_device_28_1,AU,Sydney,desktop,0,none,0,1707,0,normal,
evt_00001064,2026-05-27 07:59:29,user_026,contractor,external,file_00275,txt,low,view,contractor_device_26_1,AU,Sydney,web,0,none,0,6727,0,normal,
evt_00000317,2026-05-27 08:00:44,user_007,office_staff,operations,file_00026,txt,low,view,office_staff_device_7_0,AU,Sydney,mobile,0,none,0,4153,0,normal,
evt_00000922,2026-05-27 08:01:12,user_021,manager,management,file_00016,pptx,low,download,manager_device_21_1,NZ,Christchurch,web,0,none,0,468102,0,normal,
evt_00000313,2026-05-27 08:02:06,user_007,office_staff,operations,file_00451,csv,low,share,office_staff_device_7_0,AU,Sydney,web,0,internal,0,1819,0,normal,
evt_00000583,2026-05-27 08:04:24,user_013,office_staff,operations,file_00092,pdf,medium,view,office_staff_device_13_1,NZ,Auckland,desktop,0,none,0,7473,0,normal,
evt_00000831,2026-05-27 08:05:26,user_019,office_staff,operations,file_00044,csv,high,download,office_staff_device_19_1,NZ,Auckland,web,0,none,0,2401399,0,normal,
evt_00000998,2026-05-27 08:06:04,user_024,manager,management,file_00219,docx,medium,permission_change,manager_device_24_1,NZ,Auckland,web,0,none,1,613,0,normal,
evt_00000455,2026-05-27 08:07:42,user_009,office_staff,operations,file_00100,docx,high,edit,office_staff_device_9_1,NZ,Christchurch,web,0,none,0,31542,0,normal,
evt_00000976,2026-05-27 08:08:23,user_023,manager,management,file_00156,xlsx,medium,share,manager_device_23_1,AU,Sydney,web,0,internal,0,1010,0,normal,
evt_00000741,2026-05-27 08:09:20,user_017,office_staff,operations,file_00057,xlsx,low,view,office_staff_device_17_0,AU,Sydney,web,0,none,0,5051,0,normal,
evt_00000341,2026-05-27 08:09:45,user_007,office_staff,operations,file_00031,csv,low,view,office_staff_device_7_0,AU,Sydney,web,0,none,0,1377,0,normal,
evt_00000140,2026-05-27 08:11:55,user_003,office_staff,operations,file_00039,docx,low,view,office_staff_device_3_1,NZ,Wellington,web,0,none,0,2889,0,normal,
evt_00000445,2026-05-27 08:12:17,user_009,office_staff,operations,file_00054,pptx,low,view,office_staff_device_9_1,NZ,Auckland,desktop,0,none,0,1094,0,normal,
evt_00000095,2026-05-27 08:13:17,user_002,office_staff,operations,file_00098,pdf,medium,edit,office_staff_device_2_1,NZ,Christchurch,web,0,none,0,8506,0,normal,
evt_00000975,2026-05-27 08:14:01,user_023,manager,management,file_00191,txt,low,edit,manager_device_23_0,NZ,Wellington,web,0,none,0,2271,0,normal,
evt_00000895,2026-05-27 08:14:47,user_021,manager,management,file_00232,pdf,low,edit,manager_device_21_1,NZ,Christchurch,desktop,0,none,0,37400,0,normal,
evt_00000244,2026-05-27 08:15:47,user_005,office_staff,operations,file_00097,pptx,medium,view,office_staff_device_5_1,NZ,Auckland,web,0,none,0,3670,0,normal,
evt_00000784,2026-05-27 08:15:51,user_018,office_staff,operations,file_00215,xlsx,low,view,office_staff_device_18_1,AU,Sydney,web,0,none,0,3587,0,normal,
evt_00000301,2026-05-27 08:17:14,user_006,office_staff,operations,file_00058,pdf,medium,download,office_staff_device_6_0,NZ,Auckland,desktop,0,none,0,915808,0,normal,
evt_00000127,2026-05-27 08:17:54,user_003,office_staff,operations,file_00092,pdf,medium,download,office_staff_device_3_0,NZ,Wellington,web,0,none,0,2768240,0,normal,
evt_00000137,2026-05-27 08:18:38,user_003,office_staff,operations,file_00103,xlsx,low,share,office_staff_device_3_1,NZ,Auckland,web,0,internal,0,2154,0,normal,
evt_00001019,2026-05-27 08:19:03,user_024,manager,management,file_00188,txt,medium,view,manager_device_24_2,NZ,Auckland,web,0,none,0,3095,0,normal,
evt_00000416,2026-05-27 08:19:26,user_009,office_staff,operations,file_00036,txt,low,edit,office_staff_device_9_1,NZ,Auckland,web,0,none,0,11421,0,normal,
evt_00000330,2026-05-27 08:19:42,user_007,office_staff,operations,file_00044,csv,high,view,office_staff_device_7_0,NZ,Auckland,web,0,none,0,1510,0,normal,
evt_00001150,2026-05-27 08:19:55,user_030,it_admin,it,file_00370,docx,low,view,it_admin_device_30_1,NZ,Auckland,desktop,0,none,0,6159,0,normal,
evt_00000471,2026-05-27 08:20:15,user_010,office_staff,operations,file_00087,pdf,medium,view,office_staff_device_10_1,NZ,Wellington,web,0,none,0,9812,0,normal,
evt_00000838,2026-05-27 08:21:00,user_020,office_staff,operations,file_00227,pdf,low,edit,office_staff_device_20_1,NZ,Christchurch,mobile,0,none,0,41363,0,normal,
evt_00000340,2026-05-27 08:21:00,user_007,office_staff,operations,file_00045,xlsx,low,view,office_staff_device_7_1,AU,Sydney,web,0,none,0,8118,0,normal,
evt_00000661,2026-05-27 08:21:05,user_015,office_staff,operations,file_00094,xlsx,low,edit,office_staff_device_15_0,AU,Sydney,desktop,0,none,0,31457,0,normal,
evt_00001132,2026-05-27 08:21:26,user_029,it_admin,it,file_00440,txt,medium,permission_change,it_admin_device_29_2,NZ,Wellington,desktop,0,none,1,988,0,normal,
evt_00000879,2026-05-27 08:21:27,user_020,office_staff,operations,file_00061,docx,low,view,office_staff_device_20_1,NZ,Christchurch,web,0,none,0,4520,0,normal,
evt_00000970,2026-05-27 08:24:13,user_023,manager,management,file_00462,docx,low,view,manager_device_23_0,AU,Sydney,web,0,none,0,4326,0,normal,
evt_00000414,2026-05-27 08:24:56,user_009,office_staff,operations,file_00092,pdf,medium,edit,office_staff_device_9_0,NZ,Christchurch,web,0,none,0,14019,0,normal,
evt_00000884,2026-05-27 08:26:40,user_020,office_staff,operations,file_00154,txt,low,edit,office_staff_device_20_0,NZ,Christchurch,web,0,none,0,37894,0,normal,
evt_00000595,2026-05-27 08:26:48,user_013,office_staff,operations,file_00013,xlsx,high,view,office_staff_device_13_1,NZ,Christchurch,mobile,0,none,0,5493,0,normal,
evt_00000238,2026-05-27 08:27:22,user_005,office_staff,operations,file_00030,txt,low,download,office_staff_device_5_0,NZ,Auckland,desktop,0,none,0,1097313,0,normal,
evt_00000343,2026-05-27 08:27:42,user_007,office_staff,operations,file_00132,pdf,high,view,office_staff_device_7_0,NZ,Auckland,web,0,none,0,5159,0,normal,
evt_00000767,2026-05-27 08:27:56,user_018,office_staff,operations,file_00202,pdf,high,edit,office_staff_device_18_1,NZ,Auckland,web,0,none,0,30871,0,normal,
evt_00000155,2026-05-27 08:28:58,user_004,office_staff,operations,file_00090,docx,medium,edit,office_staff_device_4_1,NZ,Auckland,web,0,none,0,8172,0,normal,
evt_00000863,2026-05-27 08:29:21,user_020,office_staff,operations,file_00066,pdf,medium,share,office_staff_device_20_0,NZ,Christchurch,web,0,internal,0,2631,0,normal,
evt_00000607,2026-05-27 08:29:31,user_014,office_staff,operations,file_00012,xlsx,medium,view,office_staff_device_14_0,NZ,Christchurch,web,0,none,0,8815,0,normal,
evt_00000335,2026-05-27 08:30:23,user_007,office_staff,operations,file_00379,pptx,high,share,office_staff_device_7_0,AU,Sydney,web,1,public,0,683,0,normal,
evt_00001138,2026-05-27 08:31:06,user_029,it_admin,it,file_00459,docx,medium,permission_change,it_admin_device_29_1,AU,Sydney,web,0,none,1,326,0,normal,
evt_00000943,2026-05-27 08:31:51,user_022,manager,management,file_00183,docx,high,share,manager_device_22_1,AU,Sydney,web,0,internal,0,2879,0,normal,
evt_00000829,2026-05-27 08:32:06,user_019,office_staff,operations,file_00011,pdf,low,view,office_staff_device_19_1,NZ,Auckland,web,0,none,0,7603,0,normal,
evt_00000259,2026-05-27 08:33:02,user_006,office_staff,operations,file_00098,pdf,medium,view,office_staff_device_6_0,AU,Sydney,desktop,0,none,0,2507,0,normal,
evt_00000598,2026-05-27 08:33:06,user_013,office_staff,operations,file_00078,pptx,low,edit,office_staff_device_13_1,NZ,Auckland,desktop,0,none,0,36656,0,normal,
evt_00001125,2026-05-27 08:33:24,user_029,it_admin,it,file_00462,docx,low,download,it_admin_device_29_2,NZ,Wellington,web,0,none,0,1666065,0,normal,
evt_00000361,2026-05-27 08:33:30,user_008,office_staff,operations,file_00014,pdf,low,view,office_staff_device_8_1,NZ,Wellington,desktop,0,none,0,1176,0,normal,
evt_00000909,2026-05-27 08:35:03,user_021,manager,management,file_00151,pptx,low,edit,manager_device_21_1,NZ,Auckland,web,0,none,0,48272,0,normal,
evt_00000002,2026-05-27 08:35:12,user_001,office_staff,operations,file_00010,docx,medium,view,office_staff_device_1_0,AU,Sydney,web,0,none,0,3011,0,normal,
evt_00000587,2026-05-27 08:35:17,user_013,office_staff,operations,file_00077,docx,high,share,office_staff_device_13_0,NZ,Christchurch,web,0,internal,0,2491,0,normal,
evt_00000439,2026-05-27 08:35:59,user_009,office_staff,operations,file_00082,csv,medium,edit,office_staff_device_9_1,NZ,Christchurch,desktop,0,none,0,8499,0,normal,
evt_00000306,2026-05-27 08:36:22,user_006,office_staff,operations,file_00057,xlsx,low,view,office_staff_device_6_0,NZ,Auckland,web,0,none,0,3999,0,normal,
evt_00000557,2026-05-27 08:36:41,user_012,office_staff,operations,file_00117,txt,low,view,office_staff_device_12_1,NZ,Christchurch,web,0,none,0,9830,0,normal,
evt_00000286,2026-05-27 08:36:41,user_006,office_staff,operations,file_00099,csv,low,edit,office_staff_device_6_1,NZ,Auckland,mobile,0,none,0,9745,0,normal,
evt_00000136,2026-05-27 08:37:35,user_003,office_staff,operations,file_00338,pdf,medium,view,office_staff_device_3_0,NZ,Auckland,web,0,none,0,6796,0,normal,
evt_00001035,2026-05-27 08:37:36,user_025,manager,management,file_00130,csv,low,download,manager_device_25_1,AU,Sydney,web,0,none,0,775658,0,normal,
evt_00000905,2026-05-27 08:37:51,user_021,manager,management,file_00163,docx,low,view,manager_device_21_1,NZ,Wellington,desktop,0,none,0,6045,0,normal,
evt_00000186,2026-05-27 08:38:09,user_004,office_staff,operations,file_00104,pdf,low,edit,office_staff_device_4_1,NZ,Christchurch,web,0,none,0,45040,0,normal,
evt_00000597,2026-05-27 08:38:47,user_013,office_staff,operations,file_00226,pdf,medium,share,office_staff_device_13_1,NZ,Auckland,web,0,internal,0,2224,0,normal,
evt_00000554,2026-05-27 08:39:54,user_012,office_staff,operations,file_00026,txt,low,edit,office_staff_device_12_0,NZ,Christchurch,web,0,none,0,19816,0,normal,
evt_00000857,2026-05-27 08:40:45,user_020,office_staff,operations,file_00051,csv,low,share,office_staff_device_20_1,NZ,Wellington,web,0,internal,0,187,0,normal,
evt_00000792,2026-05-27 08:41:57,user_018,office_staff,operations,file_00025,docx,low,download,office_staff_device_18_0,NZ,Auckland,desktop,0,none,0,2710372,0,normal,
evt_00000772,2026-05-27 08:42:15,user_018,office_staff,operations,file_00060,pdf,low,permission_change,office_staff_device_18_0,NZ,Auckland,web,0,none,1,270,0,normal,
evt_00000094,2026-05-27 08:42:55,user_002,office_staff,operations,file_00041,csv,high,share,office_staff_device_2_1,NZ,Auckland,web,0,internal,0,2087,0,normal,
evt_00000410,2026-05-27 08:43:00,user_009,office_staff,operations,file_00034,xlsx,low,download,office_staff_device_9_0,NZ,Auckland,desktop,0,none,0,532540,0,normal,
evt_00000023,2026-05-27 08:43:41,user_001,office_staff,operations,file_00019,xlsx,low,view,office_staff_device_1_0,NZ,Auckland,web,0,none,0,7686,0,normal,
evt_00000415,2026-05-27 08:44:07,user_009,office_staff,operations,file_00052,txt,low,view,office_staff_device_9_1,NZ,Christchurch,web,0,none,0,9469,0,normal,
evt_00000265,2026-05-27 08:44:10,user_006,office_staff,operations,file_00078,pptx,low,edit,office_staff_device_6_1,AU,Sydney,desktop,0,none,0,32530,0,normal,
evt_00000835,2026-05-27 08:44:12,user_020,office_staff,operations,file_00073,pdf,low,view,office_staff_device_20_0,NZ,Christchurch,web,0,none,0,8846,0,normal,
evt_00000900,2026-05-27 08:44:43,user_021,manager,management,file_00237,docx,medium,view,manager_device_21_2,NZ,Wellington,web,0,none,0,4435,0,normal,
evt_00000786,2026-05-27 08:46:31,user_018,office_staff,operations,file_00094,xlsx,low,edit,office_staff_device_18_0,NZ,Auckland,desktop,0,none,0,9322,0,normal,
evt_00000130,2026-05-27 08:46:50,user_003,office_staff,operations,file_00050,txt,low,view,office_staff_device_3_1,NZ,Auckland,web,0,none,0,9857,0,normal,
evt_00000028,2026-05-27 08:47:20,user_001,office_staff,operations,file_00078,pptx,low,view,office_staff_device_1_0,NZ,Auckland,web,0,none,0,6827,0,normal,
evt_00000546,2026-05-27 08:47:59,user_012,office_staff,operations,file_00084,pdf,low,view,office_staff_device_12_1,AU,Sydney,web,0,none,0,7128,0,normal,
evt_00000798,2026-05-27 08:48:03,user_018,office_staff,operations,file_00117,txt,low,download,office_staff_device_18_1,NZ,Auckland,desktop,0,none,0,1880265,0,normal,
evt_00000644,2026-05-27 08:48:09,user_015,office_staff,operations,file_00004,xlsx,low,view,office_staff_device_15_1,AU,Sydney,web,0,none,0,2203,0,normal,
evt_00000090,2026-05-27 08:48:43,user_002,office_staff,operations,file_00033,pdf,low,view,office_staff_device_2_0,NZ,Auckland,desktop,0,none,0,4355,0,normal,
evt_00000303,2026-05-27 08:48:46,user_006,office_staff,operations,file_00080,pptx,low,view,office_staff_device_6_0,NZ,Auckland,mobile,0,none,0,1988,0,normal,
evt_00000750,2026-05-27 08:49:30,user_017,office_staff,operations,file_00015,txt,low,download,office_staff_device_17_0,AU,Sydney,web,0,none,0,2675959,0,normal,
evt_00001155,2026-05-27 08:50:43,user_030,it_admin,it,file_00402,txt,high,view,it_admin_device_30_1,NZ,Auckland,desktop,0,none,0,3378,0,normal,
evt_00000847,2026-05-27 08:51:04,user_020,office_staff,operations,file_00067,docx,low,download,office_staff_device_20_1,NZ,Wellington,web,0,none,0,2946717,0,normal,
evt_00000887,2026-05-27 08:52:29,user_020,office_staff,operations,file_00157,csv,medium,share,office_staff_device_20_0,NZ,Wellington,web,0,internal,0,198,0,normal,
evt_00000198,2026-05-27 08:52:55,user_005,office_staff,operations,file_00029,xlsx,medium,share,office_staff_device_5_0,NZ,Auckland,web,0,internal,0,2349,0,normal,
evt_00000668,2026-05-27 08:53:04,user_015,office_staff,operations,file_00090,docx,medium,view,office_staff_device_15_1,AU,Sydney,web,0,none,0,6981,0,normal,
evt_00000862,2026-05-27 08:53:23,user_020,office_staff,operations,file_00019,xlsx,low,view,office_staff_device_20_1,NZ,Wellington,web,0,none,0,6604,0,normal,
evt_00000425,2026-05-27 08:54:10,user_009,office_staff,operations,file_00008,txt,low,view,office_staff_device_9_1,NZ,Auckland,desktop,0,none,0,3636,0,normal,
evt_00000474,2026-05-27 08:54:32,user_010,office_staff,operations,file_00089,pptx,low,view,office_staff_device_10_1,NZ,Wellington,desktop,0,none,0,7426,0,normal,
evt_00000060,2026-05-27 08:54:56,user_001,office_staff,operations,file_00100,docx,high,view,office_staff_device_1_1,AU,Sydney,web,0,none,0,1156,0,normal,
evt_00000710,2026-05-27 08:55:40,user_016,office_staff,operations,file_00099,csv,low,edit,office_staff_device_16_1,NZ,Christchurch,desktop,0,none,0,45723,0,normal,
evt_00000691,2026-05-27 08:56:31,user_016,office_staff,operations,file_00122,docx,medium,edit,office_staff_device_16_0,NZ,Christchurch,web,0,none,0,25156,0,normal,
evt_00000486,2026-05-27 08:56:46,user_010,office_staff,operations,file_00032,pdf,low,edit,office_staff_device_10_0,NZ,Christchurch,web,0,none,0,6071,0,normal,
evt_00000902,2026-05-27 08:56:46,user_021,manager,management,file_00230,xlsx,low,edit,manager_device_21_0,NZ,Christchurch,web,0,none,0,15238,0,normal,
evt_00001151,2026-05-27 08:57:57,user_030,it_admin,it,file_00472,pptx,low,edit,it_admin_device_30_1,NZ,Auckland,mobile,0,none,0,31040,0,normal,
evt_00000113,2026-05-27 08:58:38,user_003,office_staff,operations,file_00057,xlsx,low,view,office_staff_device_3_1,NZ,Auckland,desktop,0,none,0,907,0,normal,
evt_00000992,2026-05-27 08:58:52,user_024,manager,management,file_00139,pptx,high,share,manager_device_24_2,NZ,Christchurch,desktop,0,internal,0,812,0,normal,
evt_00000225,2026-05-27 08:58:58,user_005,office_staff,operations,file_00033,pdf,low,download,office_staff_device_5_1,NZ,Auckland,desktop,0,none,0,1348475,0,normal,
evt_00000267,2026-05-27 08:59:04,user_006,office_staff,operations,file_00431,docx,low,share,office_staff_device_6_0,NZ,Auckland,web,1,external,0,594,0,normal,
evt_00000871,2026-05-27 08:59:57,user_020,office_staff,operations,file_00227,pdf,low,view,office_staff_device_20_1,NZ,Wellington,web,0,none,0,7801,0,normal,
evt_00000628,2026-05-27 09:00:19,user_014,office_staff,operations,file_00393,txt,low,view,office_staff_device_14_0,NZ,Wellington,web,0,none,0,3454,0,normal,
evt_00000032,2026-05-27 09:00:29,user_001,office_staff,operations,file_00041,csv,high,edit,office_staff_device_1_0,NZ,Auckland,web,0,none,0,5164,0,normal,
evt_00000398,2026-05-27 09:00:32,user_008,office_staff,operations,file_00069,docx,high,edit,office_staff_device_8_1,NZ,Auckland,web,0,none,0,41660,0,normal,
evt_00000558,2026-05-27 09:00:59,user_012,office_staff,operations,file_00414,docx,medium,view,office_staff_device_12_1,AU,Sydney,desktop,0,none,0,9365,0,normal,
evt_00000375,2026-05-27 09:01:13,user_008,office_staff,operations,file_00073,pdf,low,edit,office_staff_device_8_1,NZ,Wellington,mobile,0,none,0,46577,0,normal,
evt_00000708,2026-05-27 09:01:30,user_016,office_staff,operations,file_00471,txt,medium,view,office_staff_device_16_0,NZ,Auckland,desktop,0,none,0,7994,0,normal,
evt_00000720,2026-05-27 09:01:55,user_016,office_staff,operations,file_00058,pdf,medium,edit,office_staff_device_16_1,NZ,Christchurch,web,0,none,0,48330,0,normal,
evt_00000663,2026-05-27 09:03:10,user_015,office_staff,operations,file_00087,pdf,medium,view,office_staff_device_15_1,NZ,Wellington,web,0,none,0,8304,0,normal,
evt_00000203,2026-05-27 09:03:18,user_005,office_staff,operations,file_00370,docx,low,view,office_staff_device_5_1,NZ,Christchurch,web,0,none,0,2565,0,normal,
evt_00001127,2026-05-27 09:03:51,user_029,it_admin,it,file_00472,pptx,low,rename,it_admin_device_29_2,AU,Sydney,web,0,none,0,1177,0,normal,
evt_00000460,2026-05-27 09:04:03,user_010,office_staff,operations,file_00028,pdf,low,edit,office_staff_device_10_1,NZ,Wellington,web,0,none,0,16032,0,normal,
evt_00000378,2026-05-27 09:05:42,user_008,office_staff,operations,file_00027,docx,high,view,office_staff_device_8_1,NZ,Auckland,mobile,0,none,0,8022,0,normal,
